epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,225.746,0.85656,0.50897,0.89152,0.78277,0.71027,0.75268,0.48589,1.02894,0.63752,0.99229,0.000974614,0.000974614,0.000974614
64,229.433,0.83516,0.50164,0.89357,0.73428,0.75816,0.74003,0.49251,1.0083,0.66149,0.97733,0.000972414,0.000972414,0.000972414
65,233.212,0.85006,0.50355,0.90664,0.74771,0.71184,0.73672,0.4907,1.01999,0.66487,0.98721,0.000970214,0.000970214,0.000970214
66,236.645,0.84763,0.48353,0.90446,0.74613,0.70276,0.71101,0.47579,1.00757,0.63804,0.98932,0.000968014,0.000968014,0.000968014
67,240.102,0.83509,0.47771,0.90185,0.73406,0.67421,0.69997,0.47328,1.02473,0.66219,0.98375,0.000965815,0.000965815,0.000965815
68,243.59,0.82989,0.49498,0.90353,0.71243,0.74248,0.71848,0.46716,1.02517,0.66631,0.98063,0.000963615,0.000963615,0.000963615
69,247.17,0.8723,0.51307,0.89652,0.81141,0.65351,0.73676,0.48673,1.01681,0.65658,0.97654,0.000961415,0.000961415,0.000961415
70,250.636,0.83576,0.48728,0.87959,0.64195,0.75229,0.71716,0.46933,1.0145,0.65709,0.99067,0.000959215,0.000959215,0.000959215
71,254.088,0.83536,0.5048,0.89145,0.69504,0.74517,0.72726,0.45767,1.05045,0.64699,0.99879,0.000957015,0.000957015,0.000957015
72,257.588,0.87893,0.50142,0.90273,0.71677,0.72723,0.69113,0.44976,1.02963,0.71681,1.00328,0.000954816,0.000954816,0.000954816
73,261.18,0.89779,0.49382,0.91463,0.72118,0.74533,0.72262,0.45145,1.11609,0.69065,1.01219,0.000952616,0.000952616,0.000952616
74,264.644,0.89263,0.51815,0.9178,0.63933,0.72878,0.71325,0.45436,1.01571,0.7057,0.99101,0.000950416,0.000950416,0.000950416
75,268.105,0.84826,0.50618,0.9016,0.71894,0.67203,0.74074,0.46434,1.04377,0.74697,0.98645,0.000948216,0.000948216,0.000948216
76,271.592,0.83633,0.49352,0.89082,0.76976,0.68376,0.74408,0.4759,1.02432,0.73825,0.99264,0.000946016,0.000946016,0.000946016
77,275.191,0.84688,0.49284,0.8947,0.71961,0.75159,0.74307,0.46885,1.0149,0.69529,0.98943,0.000943817,0.000943817,0.000943817
78,278.654,0.81138,0.46987,0.88266,0.68217,0.77545,0.71534,0.45724,1.00293,0.67005,0.98202,0.000941617,0.000941617,0.000941617
79,282.136,0.81111,0.51784,0.89116,0.6301,0.75629,0.70025,0.43893,1.01704,0.71165,0.98997,0.000939417,0.000939417,0.000939417
80,285.638,0.82507,0.48137,0.87375,0.65885,0.73489,0.68845,0.44414,1.00523,0.72477,0.98363,0.000937217,0.000937217,0.000937217
81,289.219,0.79891,0.45801,0.88626,0.69805,0.75637,0.7116,0.44554,1.00437,0.68572,0.98516,0.000935018,0.000935018,0.000935018
82,292.669,0.80561,0.46009,0.87375,0.73578,0.72224,0.73803,0.4748,0.98242,0.65026,0.97809,0.000932818,0.000932818,0.000932818
83,296.137,0.80581,0.48266,0.87997,0.75324,0.69685,0.72594,0.45891,1.03014,0.66862,0.9866,0.000930618,0.000930618,0.000930618
84,299.634,0.84377,0.50397,0.89138,0.74471,0.70594,0.76832,0.49733,1.00065,0.6821,0.96077,0.000928418,0.000928418,0.000928418
85,303.475,0.80315,0.47575,0.87742,0.75158,0.72308,0.75243,0.48397,1.01142,0.71856,0.96909,0.000926218,0.000926218,0.000926218
86,306.936,0.79874,0.47827,0.87653,0.81707,0.69621,0.76427,0.48509,0.99778,0.64439,0.96642,0.000924019,0.000924019,0.000924019
87,310.448,0.81057,0.47452,0.88851,0.74505,0.72551,0.72403,0.47589,0.98434,0.64216,0.97677,0.000921819,0.000921819,0.000921819
88,313.948,0.79645,0.44832,0.86984,0.72344,0.68233,0.71036,0.47818,0.97034,0.63391,0.97436,0.000919619,0.000919619,0.000919619
89,317.576,0.80447,0.48132,0.88493,0.76229,0.75718,0.76369,0.51925,0.99006,0.6061,0.97932,0.000917419,0.000917419,0.000917419
90,321.263,0.77427,0.4521,0.86869,0.75368,0.73439,0.74012,0.48161,1.01049,0.65456,0.97978,0.00091522,0.00091522,0.00091522
91,324.76,0.80397,0.47092,0.87657,0.74191,0.80304,0.74407,0.4777,0.98463,0.67119,0.97556,0.00091302,0.00091302,0.00091302
92,328.258,0.80359,0.50359,0.89505,0.78773,0.72975,0.75122,0.47689,1.05393,0.66036,0.9904,0.00091082,0.00091082,0.00091082
93,331.867,0.83508,0.48304,0.88012,0.82605,0.66901,0.75956,0.4818,1.05923,0.68905,0.98901,0.00090862,0.00090862,0.00090862
94,335.34,0.82061,0.4684,0.88601,0.77836,0.73569,0.76509,0.49583,1.00636,0.67492,0.98096,0.00090642,0.00090642,0.00090642
95,338.811,0.79803,0.45968,0.8868,0.7478,0.78411,0.78199,0.49643,0.99983,0.65307,0.97838,0.000904221,0.000904221,0.000904221
96,342.304,0.76639,0.45621,0.87101,0.79029,0.73058,0.73785,0.46741,1.00374,0.67045,0.98877,0.000902021,0.000902021,0.000902021
97,345.882,0.79616,0.45537,0.87443,0.69139,0.72692,0.73566,0.47431,1.01522,0.65411,0.99401,0.000899821,0.000899821,0.000899821
98,349.391,0.82143,0.46454,0.88186,0.65096,0.78238,0.72417,0.45736,1.03537,0.7005,1.00657,0.000897621,0.000897621,0.000897621
99,352.852,0.82113,0.45926,0.89544,0.69572,0.78556,0.73742,0.47798,0.99357,0.68805,0.99892,0.000895422,0.000895422,0.000895422
100,356.502,0.77912,0.44032,0.88742,0.73545,0.74057,0.7219,0.46194,0.98858,0.67391,0.98681,0.000893222,0.000893222,0.000893222
