epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,194.218,0.85074,0.51268,0.89172,0.70988,0.68478,0.70948,0.44426,1.03983,0.64808,0.99341,0.000819529,0.000819529,0.000819529
55,197.738,0.84912,0.49684,0.89288,0.73183,0.67294,0.72637,0.45402,1.00736,0.65161,0.97895,0.00081403,0.00081403,0.00081403
56,201.266,0.84526,0.52443,0.89158,0.75589,0.63397,0.71144,0.43543,0.99377,0.67458,0.99333,0.00080853,0.00080853,0.00080853
57,204.72,0.86252,0.5075,0.88703,0.75413,0.64803,0.71531,0.44937,1.01407,0.662,1.00231,0.000803031,0.000803031,0.000803031
58,208.183,0.85754,0.51595,0.89497,0.68348,0.70784,0.70406,0.45705,1.01052,0.63412,0.9937,0.000797531,0.000797531,0.000797531
59,211.626,0.84021,0.51569,0.89375,0.71152,0.69885,0.71075,0.45668,0.99741,0.63191,0.98999,0.000792032,0.000792032,0.000792032
60,215.233,0.81597,0.47821,0.8844,0.73638,0.68331,0.71318,0.44934,0.99539,0.64571,0.98592,0.000786532,0.000786532,0.000786532
61,218.692,0.82315,0.50911,0.88719,0.73556,0.6088,0.68888,0.44313,1.02755,0.6255,0.97984,0.000781033,0.000781033,0.000781033
62,222.154,0.83949,0.48528,0.89878,0.6662,0.67871,0.68912,0.45994,1.00539,0.65373,0.97185,0.000775534,0.000775534,0.000775534
63,225.644,0.82675,0.4981,0.88154,0.73531,0.66503,0.71358,0.46938,1.02923,0.66227,0.97629,0.000770034,0.000770034,0.000770034
64,229.118,0.81051,0.48508,0.88283,0.70632,0.72452,0.74664,0.4915,1.00871,0.64513,0.97526,0.000764535,0.000764535,0.000764535
65,232.571,0.82552,0.48355,0.89163,0.69002,0.76827,0.73344,0.47687,1.02424,0.64358,0.98192,0.000759035,0.000759035,0.000759035
66,236.039,0.8182,0.46908,0.88921,0.76279,0.71678,0.73316,0.49059,0.97267,0.61869,0.96495,0.000753536,0.000753536,0.000753536
67,239.511,0.80214,0.45212,0.88379,0.7292,0.76673,0.76077,0.50958,0.97958,0.60885,0.96556,0.000748036,0.000748036,0.000748036
68,243.395,0.78975,0.48279,0.88816,0.73669,0.74588,0.74544,0.49097,0.9917,0.63434,0.96947,0.000742537,0.000742537,0.000742537
69,246.883,0.8133,0.48602,0.8797,0.71097,0.7735,0.74292,0.48508,0.96785,0.64194,0.9605,0.000737037,0.000737037,0.000737037
70,250.38,0.80427,0.47895,0.87095,0.73651,0.71396,0.76414,0.49583,0.99152,0.67462,0.97318,0.000731538,0.000731538,0.000731538
71,253.84,0.78894,0.48513,0.87662,0.74109,0.68551,0.76148,0.49911,1.01399,0.66403,0.98513,0.000726038,0.000726038,0.000726038
72,257.951,0.82917,0.47703,0.88822,0.74938,0.68483,0.7405,0.46697,1.01311,0.65868,0.98424,0.000720539,0.000720539,0.000720539
73,261.399,0.80704,0.46766,0.88379,0.74813,0.69456,0.74444,0.48423,0.99654,0.63402,0.98027,0.00071504,0.00071504,0.00071504
74,264.841,0.80659,0.46883,0.89085,0.76204,0.75953,0.75532,0.49444,0.98695,0.6357,0.9763,0.00070954,0.00070954,0.00070954
75,268.284,0.80488,0.46947,0.8851,0.78017,0.76946,0.77026,0.49284,1.0052,0.67135,0.98566,0.000704041,0.000704041,0.000704041
76,271.783,0.78537,0.45719,0.87891,0.75466,0.69605,0.76058,0.47164,0.97912,0.65567,0.97698,0.000698541,0.000698541,0.000698541
77,275.234,0.78637,0.45555,0.87967,0.7198,0.731,0.72099,0.46282,0.99642,0.68011,0.97743,0.000693042,0.000693042,0.000693042
78,278.671,0.75891,0.43845,0.86678,0.68338,0.72198,0.7242,0.45889,1.01304,0.66873,0.98564,0.000687542,0.000687542,0.000687542
79,282.128,0.78623,0.47799,0.88109,0.63458,0.726,0.70123,0.4518,0.99901,0.6551,0.97352,0.000682043,0.000682043,0.000682043
