epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,554.652,0.75654,0.53229,1.03666,0.94275,0.88116,0.9217,0.76747,0.70473,0.43966,0.9935,0.0084952,0.0084952,0.0084952
78,561.807,0.7645,0.50612,1.03975,0.95503,0.88954,0.92284,0.7824,0.7219,0.43489,0.99803,0.0084754,0.0084754,0.0084754
79,569.014,0.75228,0.51195,1.02754,0.9242,0.90376,0.92153,0.76735,0.70899,0.40487,1.00085,0.0084556,0.0084556,0.0084556
80,576.62,0.74798,0.53373,1.03291,0.92894,0.88882,0.92279,0.7622,0.74888,0.43668,1.01336,0.0084358,0.0084358,0.0084358
81,583.755,0.73296,0.50772,1.01994,0.92557,0.90688,0.92258,0.77182,0.72738,0.4411,1.01041,0.008416,0.008416,0.008416
82,590.857,0.7459,0.51513,1.02745,0.92657,0.89938,0.91388,0.76442,0.69331,0.43664,0.97595,0.0083962,0.0083962,0.0083962
83,598.027,0.75438,0.51499,1.04301,0.95502,0.88116,0.9208,0.77995,0.6697,0.42202,0.97889,0.0083764,0.0083764,0.0083764
84,605.626,0.74955,0.51189,1.03991,0.94234,0.89246,0.9333,0.77161,0.70511,0.44305,1.0037,0.0083566,0.0083566,0.0083566
85,612.706,0.75466,0.51808,1.04369,0.92899,0.89811,0.91917,0.77687,0.71897,0.40812,1.01045,0.0083368,0.0083368,0.0083368
86,619.764,0.74477,0.52125,1.03611,0.93671,0.88783,0.91721,0.77174,0.73605,0.41366,1.00851,0.008317,0.008317,0.008317
87,626.863,0.75312,0.51321,1.03206,0.9141,0.90954,0.91128,0.76968,0.72212,0.41168,1.00455,0.0082972,0.0082972,0.0082972
88,634.063,0.74438,0.51262,1.02671,0.9487,0.87842,0.91925,0.78363,0.7396,0.44274,1.00774,0.0082774,0.0082774,0.0082774
89,641.242,0.74467,0.49702,1.02777,0.93392,0.88681,0.93019,0.77882,0.68369,0.42389,0.99268,0.0082576,0.0082576,0.0082576
90,648.375,0.73748,0.49357,1.0279,0.95433,0.87551,0.91786,0.76561,0.7186,0.43921,0.98534,0.0082378,0.0082378,0.0082378
91,655.458,0.73189,0.49609,1.01822,0.94383,0.89659,0.92687,0.76808,0.73852,0.4393,0.98744,0.008218,0.008218,0.008218
92,662.573,0.74874,0.50813,1.03519,0.92727,0.89049,0.92679,0.78034,0.72299,0.43425,0.98901,0.0081982,0.0081982,0.0081982
93,669.683,0.72934,0.4933,1.02957,0.93713,0.88258,0.91585,0.7703,0.73705,0.42586,1.00289,0.0081784,0.0081784,0.0081784
94,676.839,0.71758,0.49417,1.02763,0.93588,0.88335,0.92247,0.77542,0.70892,0.41585,0.99497,0.0081586,0.0081586,0.0081586
95,683.903,0.73532,0.49932,1.02717,0.95573,0.88048,0.93209,0.78761,0.73155,0.4436,1.02147,0.0081388,0.0081388,0.0081388
96,691.082,0.72496,0.47994,1.02067,0.94256,0.88681,0.93219,0.78314,0.7394,0.4325,1.01476,0.008119,0.008119,0.008119
97,698.231,0.71805,0.4797,1.0212,0.94329,0.88116,0.92255,0.77697,0.76641,0.44499,1.00388,0.0080992,0.0080992,0.0080992
98,705.427,0.70778,0.47981,1.00604,0.94802,0.88681,0.93091,0.77876,0.68735,0.40881,0.98081,0.0080794,0.0080794,0.0080794
99,712.528,0.72612,0.49036,1.02203,0.94478,0.88308,0.92661,0.77822,0.73507,0.43661,1.00511,0.0080596,0.0080596,0.0080596
100,719.627,0.71662,0.48954,1.02621,0.9546,0.88116,0.92098,0.77761,0.69413,0.42157,0.98966,0.0080398,0.0080398,0.0080398
101,726.944,0.72687,0.49785,1.02791,0.93505,0.89315,0.92494,0.77498,0.6595,0.42022,0.98541,0.00802,0.00802,0.00802
102,734.009,0.72976,0.50246,1.02492,0.93356,0.90376,0.90736,0.77671,0.69774,0.43646,1.00621,0.0080002,0.0080002,0.0080002
103,741.227,0.70283,0.4736,1.00632,0.94611,0.89992,0.91294,0.78001,0.69213,0.4131,0.99295,0.0079804,0.0079804,0.0079804
104,748.365,0.70847,0.4843,1.01085,0.92879,0.89381,0.91076,0.77873,0.70298,0.42344,0.9807,0.0079606,0.0079606,0.0079606
105,755.526,0.7149,0.48256,1.01372,0.93593,0.90358,0.91793,0.77264,0.75152,0.43951,0.99563,0.0079408,0.0079408,0.0079408
106,762.649,0.72441,0.48189,1.02229,0.9271,0.90738,0.92075,0.77581,0.73188,0.41718,0.99176,0.007921,0.007921,0.007921
107,769.745,0.70994,0.46806,1.01249,0.93116,0.89989,0.91862,0.76625,0.73249,0.41142,1.00733,0.0079012,0.0079012,0.0079012
108,776.904,0.71951,0.48071,1.02347,0.92577,0.89246,0.9162,0.77955,0.68723,0.40485,0.98918,0.0078814,0.0078814,0.0078814
109,784.054,0.69714,0.47339,1.00928,0.91913,0.89811,0.9176,0.78104,0.75615,0.44697,1.01521,0.0078616,0.0078616,0.0078616
110,791.132,0.69536,0.47637,1.00751,0.94201,0.89352,0.90539,0.7685,0.71297,0.42782,1.00539,0.0078418,0.0078418,0.0078418
111,798.223,0.70994,0.47195,1.02033,0.96038,0.88116,0.93494,0.77955,0.72708,0.42627,0.98568,0.007822,0.007822,0.007822
112,805.381,0.69172,0.46432,1.00929,0.94651,0.8979,0.92864,0.78789,0.72255,0.42332,0.98408,0.0078022,0.0078022,0.0078022
113,812.65,0.69683,0.46053,1.00731,0.94313,0.88116,0.91692,0.77503,0.72778,0.45962,0.99368,0.0077824,0.0077824,0.0077824
114,819.863,0.71085,0.47083,1.01908,0.91892,0.91186,0.92651,0.77819,0.73662,0.42705,0.99712,0.0077626,0.0077626,0.0077626
115,826.99,0.70288,0.48379,1.01383,0.92405,0.89811,0.9259,0.76903,0.7234,0.44738,1.0077,0.0077428,0.0077428,0.0077428
